id,tournament_id,stat_category,player_name,stat_value
1,1,"Most Runs","Shaun Marsh",616
2,1,"Most Wickets","Sohail Tanvir",22
3,1,"Best Batting Average","Shaun Marsh",68.44
4,1,"Best Bowling Average","Sohail Tanvir",12.09
5,1,"Most Hundreds","Shaun Marsh",1
6,1,"Most Fifties","Gautam Gambhir",5
7,1,"Most Sixes","Sanath Jayasuriya",31
8,1,"Most Fours","Gautam Gambhir",68
9,2,"Most Runs","Matthew Hayden",572
10,2,"Most Wickets","RP Singh",23
11,2,"Best Batting Average","Matthew Hayden",52.00
12,2,"Best Bowling Average","Anil Kumble",16.52
13,2,"Most Hundreds","AB de Villiers",1
14,2,"Most Fifties","Matthew Hayden",5
15,2,"Most Sixes","Adam Gilchrist",29
16,2,"Most Fours","Matthew Hayden",60
17,3,"Most Runs","Sachin Tendulkar",618
18,3,"Most Wickets","Pragyan Ojha",21
19,3,"Best Batting Average","Sachin Tendulkar",47.54
20,3,"Best Bowling Average","Doug Bollinger",12.77
21,3,"Most Hundreds","Murali Vijay",1
22,3,"Most Fifties","Sachin Tendulkar",5
23,3,"Most Sixes","Robin Uthappa",27
24,3,"Most Fours","Sachin Tendulkar",86
25,4,"Most Runs","Chris Gayle",608
26,4,"Most Wickets","Lasith Malinga",28
27,4,"Best Batting Average","Chris Gayle",67.55
28,4,"Best Bowling Average","Lasith Malinga",13.39
29,4,"Most Hundreds","Chris Gayle",2
30,4,"Most Fifties","Chris Gayle",3
31,4,"Most Sixes","Chris Gayle",44
32,4,"Most Fours","Virat Kohli",67
33,5,"Most Runs","Chris Gayle",733
34,5,"Most Wickets","Lasith Malinga",28
35,5,"Best Batting Average","Michael Hussey",44.00
36,5,"Best Bowling Average","Lasith Malinga",18.25
37,5,"Most Hundreds","Chris Gayle",2
38,5,"Most Fifties","Michael Hussey",6
39,5,"Most Sixes","Chris Gayle",59
40,5,"Most Fours","Michael Hussey",66
41,6,"Most Runs","Michael Hussey",733
42,6,"Most Wickets","Dwayne Bravo",26
43,6,"Best Batting Average","Michael Hussey",52.35
44,6,"Best Bowling Average","Dwayne Bravo",15.53
45,6,"Most Hundreds","Chris Gayle",1
46,6,"Most Fifties","Michael Hussey",6
47,6,"Most Sixes","Chris Gayle",51
48,6,"Most Fours","Michael Hussey",66
49,7,"Most Runs","Robin Uthappa",660
50,7,"Most Wickets","Dwayne Smith",28
51,7,"Best Batting Average","MS Dhoni",74.20
52,7,"Best Bowling Average","Dwayne Smith",15.53
53,7,"Most Hundreds","Virender Sehwag",1
54,7,"Most Fifties","Robin Uthappa",5
55,7,"Most Sixes","Glenn Maxwell",36
56,7,"Most Fours","Robin Uthappa",74
57,8,"Most Runs","David Warner",562
58,8,"Most Wickets","Dwayne Bravo",26
59,8,"Best Batting Average","David Warner",62.44
60,8,"Best Bowling Average","Dwayne Bravo",16.57
61,8,"Most Hundreds","AB de Villiers",1
62,8,"Most Fifties","David Warner",5
63,8,"Most Sixes","AB de Villiers",26
64,8,"Most Fours","David Warner",62
73,9,"Most Runs","Virat Kohli",973
74,9,"Most Wickets","Bhuvneshwar Kumar",23
75,9,"Best Batting Average","Virat Kohli",81.08
76,9,"Best Bowling Average","Ben Stokes",17.77
77,9,"Most Hundreds","Virat Kohli",4
78,9,"Most Fifties","AB de Villiers",7
79,9,"Most Sixes","AB de Villiers",26
80,9,"Most Fours","Virat Kohli",83
81,10,"Most Runs","David Warner",641
82,10,"Most Wickets","Bhuvneshwar Kumar",26
83,10,"Best Batting Average","David Warner",71.22
84,10,"Best Bowling Average","Bhuvneshwar Kumar",19.53
85,10,"Most Hundreds","David Warner",1
86,10,"Most Fifties","David Warner",6
87,10,"Most Sixes","Chris Gayle",38
88,10,"Most Fours","David Warner",57
89,11,"Most Runs","Kane Williamson",735
90,11,"Most Wickets","Sunil Narine",24
91,11,"Best Batting Average","Kane Williamson",52.50
92,11,"Best Bowling Average","Sunil Narine",20.08
93,11,"Most Hundreds","KL Rahul",2
94,11,"Most Fifties","Shane Watson",6
95,11,"Most Sixes","Rishabh Pant",37
96,11,"Most Fours","KL Rahul",65
97,12,"Most Runs","David Warner",692
98,12,"Most Wickets","Imran Tahir",26
99,12,"Best Batting Average","David Warner",69.20
100,12,"Best Bowling Average","Imran Tahir",16.57
101,12,"Most Hundreds","David Warner",1
102,12,"Most Fifties","KL Rahul",6
103,12,"Most Sixes","Andre Russell",52
104,12,"Most Fours","David Warner",57
105,13,"Most Runs","KL Rahul",670
106,13,"Most Wickets","Kagiso Rabada",30
107,13,"Best Batting Average","KL Rahul",55.83
108,13,"Best Bowling Average","Jasprit Bumrah",14.96
109,13,"Most Hundreds","Shikhar Dhawan",2
110,13,"Most Fifties","KL Rahul",5
111,13,"Most Sixes","Ishan Kishan",30
112,13,"Most Fours","Shikhar Dhawan",67
113,14,"Most Runs","Ruturaj Gaikwad",635
114,14,"Most Wickets","Harshal Patel",32
115,14,"Best Batting Average","KL Rahul",62.60
116,14,"Best Bowling Average","Harshal Patel",14.34
117,14,"Most Hundreds","Jos Buttler",1
118,14,"Most Fifties","Faf du Plessis",6
119,14,"Most Sixes","KL Rahul",30
120,14,"Most Fours","Ruturaj Gaikwad",64
121,15,"Most Runs","Jos Buttler",863
122,15,"Most Wickets","Yuzvendra Chahal",27
123,15,"Best Batting Average","Jos Buttler",57.53
124,15,"Best Bowling Average","Wanindu Hasaranga",16.53
125,15,"Most Hundreds","Jos Buttler",4
126,15,"Most Fifties","KL Rahul",4
127,15,"Most Sixes","Jos Buttler",45
128,15,"Most Fours","Jos Buttler",83
137,16,"Most Runs","Shubman Gill",890
138,16,"Most Wickets","Mohammed Shami",28
139,16,"Best Batting Average","Shubman Gill",59.33
140,16,"Best Bowling Average","Mohammed Shami",22.71
141,16,"Most Hundreds","Shubman Gill",2
142,16,"Most Fifties","Devon Conway",7
143,16,"Most Sixes","Faf du Plessis",48
144,16,"Most Fours","Shubman Gill",84
145,17,"Most Runs","Virat Kohli",723
146,17,"Most Wickets","Jasprit Bumrah",24
147,17,"Best Batting Average","Ruturaj Gaikwad",68.90
148,17,"Best Bowling Average","Rashid Khan",17.85
149,17,"Most Hundreds","Jos Buttler",2
150,17,"Most Fifties","KL Rahul",7
151,17,"Most Sixes","Nicholas Pooran",34
152,17,"Most Fours","Shikhar Dhawan",78
153,18,"Most Runs","Sachin Tendulkar",673
154,18,"Most Wickets","Chaminda Vaas",23
155,18,"Most Wickets","Brett Lee",22
156,18,"Most Wickets","Glenn McGrath",21
157,18,"Best Bowling Figures","Glenn McGrath",7/15
158,18,"Highest Individual Score","Craig Wishart",172*
159,18,"Most Sixes","Sourav Ganguly",15
160,19,"Most Runs","Matthew Hayden",659
161,19,"Most Wickets","Glenn McGrath",26
162,19,"Best Bowling Figures","Andrew Hall",5/18
163,19,"Highest Individual Score","Imran Nazir",160
164,19,"Most Sixes","Matthew Hayden",18
165,20,"Most Runs","Tillakaratne Dilshan",500
166,20,"Most Wickets","Shahid Afridi",21
167,20,"Best Batting Average","Kumar Sangakkara",93.00
168,20,"Best Bowling Average","Shahid Afridi",12.85
169,20,"Most Hundreds","Upul Tharanga",2
170,20,"Most Hundreds","AB de Villiers",2
171,20,"Most Hundreds","Mahela Jayawardene",2
172,20,"Most Fifties","Jonathan Trott",5
173,20,"Most Fifties","Kumar Sangakkara",5
174,20,"Most Sixes","Ross Taylor",14
175,20,"Most Fours","Tillakaratne Dilshan",61
176,21,"Most Runs","Martin Guptill",547
177,21,"Most Wickets","Mitchell Starc",22
178,21,"Best Batting Average","Kumar Sangakkara",108.20
179,21,"Best Bowling Average","Mitchell Starc",10.18
180,21,"Most Hundreds","Kumar Sangakkara",4
181,21,"Most Fifties","AB de Villiers",3
182,21,"Most Sixes","Chris Gayle",26
183,21,"Most Fours","Martin Guptill",59
184,22,"Most Runs","Rohit Sharma",648
185,22,"Most Wickets","Mitchell Starc",27
186,22,"Best Batting Average","Shakib Al Hasan",86.57
187,22,"Best Bowling Average","Lockie Ferguson",19.47
188,22,"Most Hundreds","Rohit Sharma",5
189,22,"Most Fifties","Shakib Al Hasan",5
190,22,"Most Sixes","Eoin Morgan",22
191,22,"Most Fours","Shakib Al Hasan",60
192,23,"Most Runs","Virat Kohli",765
193,23,"Most Wickets","Mohammed Shami",24
194,23,"Best Batting Average","Shubman Gill",94.00
195,23,"Best Bowling Average","Mohammed Shami",10.70
196,23,"Most Hundreds","Virat Kohli",3
197,23,"Most Fifties","Shubman Gill",4
198,23,"Most Sixes","Hardik Pandya",15
199,23,"Most Fours","Shubman Gill",59
